country,year,violence_index
Afghanistan,2021,1.5937573005020322
Afghanistan,2022,1.124066070663139
Afghanistan,2023,0.8590518102732714
Afghanistan,2024,0.8444356245788817
Albania,2021,0.44800924020491495
Albania,2022,0.36122932299405675
Albania,2023,0.23067830956198027
Albania,2024,0.0435466672589011
Algeria,2021,0.49205720143784737
Algeria,2022,0.49197390182360046
Algeria,2023,0.5353252774757301
Algeria,2024,0.04354407115733574
American Samoa,2021,3.0901213637458656e-07
American Samoa,2022,0.04347844811999148
Andorra,2021,1.2393515255783598e-06
Andorra,2022,0.04347992964927873
Andorra,2023,3.1419088291979276e-06
Andorra,2024,4.1866291952466096e-07
Angola,2021,0.27497176315480354
Angola,2022,0.58100036435826
Angola,2023,0.710938337717738
Angola,2024,0.49178698863048953
Anguilla,2022,7.152379086843823e-08
Anguilla,2023,1.8672031835038691e-07
Antarctica,2021,0.0
Antarctica,2022,0.0
Antarctica,2023,0.0
Antigua and Barbuda,2021,0.18696174362830434
Antigua and Barbuda,2022,0.04348534017531498
Antigua and Barbuda,2023,0.1869770197742609
Antigua and Barbuda,2024,0.14348010393244987
Argentina,2021,0.493349540651274
Argentina,2022,0.49398704179658526
Argentina,2023,0.5369919229545136
Argentina,2024,0.23092374158915976
Armenia,2021,0.44838302842015687
Armenia,2022,0.6687513207430077
Armenia,2023,0.491880017594551
Armenia,2024,0.31749517869060057
Aruba,2021,8.295781079974385e-07
Aruba,2022,7.254730691792385e-07
Aruba,2023,0.04347888182982026
Australia,2021,0.4914768705496173
Australia,2022,0.36119389353732845
Australia,2023,0.17416052313462138
Australia,2024,0.274007806629197
Austria,2021,0.36101017740181596
Austria,2022,0.36098965692446205
Austria,2023,0.448012440317863
Austria,2024,0.21743146022620502
Azerbaijan,2021,0.4917386507578906
Azerbaijan,2022,0.6229003520741597
Azerbaijan,2023,0.7607786782531686
Azerbaijan,2024,0.4043606191404694
Bahamas,2021,0.2739536104873317
Bahamas,2022,0.18695816107746593
Bahamas,2023,0.3174005052677806
Bahamas,2024,0.0434784723418454
Bahrain,2021,0.40460967211634136
Bahrain,2022,0.4915329096436504
Bahrain,2023,0.4046167672437735
Bahrain,2024,0.3174707024432053
Bailiwick of Guernsey,2021,8.103311129632864e-07
Bailiwick of Guernsey,2022,5.425042837592372e-07
Bailiwick of Guernsey,2024,2.723531352396231e-07
Bailiwick of Jersey,2021,3.72090900396472e-06
Bangladesh,2021,0.5851229252710421
Bangladesh,2022,0.762043002523442
Bangladesh,2023,0.6774836997649575
Bangladesh,2024,0.7117812060648684
Barbados,2021,0.04347891061875775
Barbados,2022,0.04347839690341147
Barbados,2023,7.877403603172689e-07
Barbados,2024,2.552673493936279e-07
Belarus,2021,0.6220610326838465
Belarus,2022,0.665453709480254
Belarus,2023,0.5348756496599238
Belarus,2024,0.23044207424305377
Belgium,2021,0.27412772503175725
Belgium,2022,0.3611603764771497
Belgium,2023,0.404688866769649
Belgium,2024,0.31753550850269885
Belize,2021,0.4486563855007061
Belize,2022,0.4051593736278075
Belize,2023,0.40499413216384106
Belize,2024,0.27406857492936865
Benin,2021,0.44871674117599814
Benin,2022,0.7549697287660835
Benin,2023,0.6687360548873252
Benin,2024,0.5797077026936576
Bermuda,2021,0.043478907478887795
Bermuda,2022,8.374481716448779e-07
Bermuda,2023,1.216393775145674e-06
Bhutan,2021,2.5037404557138582e-08
Bhutan,2022,0.10000007013735479
Bhutan,2023,0.0
Bolivia,2021,0.4050785639781205
Bolivia,2022,0.3621088682612046
Bolivia,2023,0.4490270651787003
Bolivia,2024,0.3612429572267629
Bosnia and Herzegovina,2021,0.3609032558996502
Bosnia and Herzegovina,2022,0.27397376777379023
Bosnia and Herzegovina,2023,0.27395415253144684
Bosnia and Herzegovina,2024,0.23044727725223044
Botswana,2021,0.23045192599861328
Botswana,2022,0.1870191772963807
Botswana,2023,0.2740200897799403
Botswana,2024,0.10000027141525202
Brazil,2021,0.9153388565641146
Brazil,2022,0.9574308429017748
Brazil,2023,0.9507899865184944
Brazil,2024,0.7121428005685456
British Virgin Islands,2022,1.1752084679751366e-07
Brunei,2023,8.090262319440219e-08
Bulgaria,2021,0.23057144830281004
Bulgaria,2022,0.27414854800845817
Bulgaria,2023,0.04365583605162468
Bulgaria,2024,0.1435238417092267
Burkina Faso,2021,1.0000832411794738
Burkina Faso,2022,1.0763521993633192
Burkina Faso,2023,1.008917871218256
Burkina Faso,2024,0.7828784255536385
Burundi,2021,0.7123711325741258
Burundi,2022,0.6258186012786551
Burundi,2023,0.7117683782031751
Burundi,2024,0.5792647358501118
Cambodia,2021,0.4044156675559819
Cambodia,2022,0.2740352424720417
Cambodia,2023,0.23048569812818412
Cambodia,2024,0.27392658447326296
Cameroon,2021,0.8118577489871698
Cameroon,2022,0.997081126723455
Cameroon,2023,1.0476103657371556
Cameroon,2024,0.8031693941039978
Canada,2021,0.5355268035247441
